from_node,to_node,prob,from_share
screen_view:map_main,screen_view:venue_detail,0.301557,0.009606
screen_view:venue_review,user_engagement,0.377488,0.00729
screen_view:venue_detail,select_promotion,0.057645,0.047028
sign_up,screen_view:home,0.429613,0.006215
screen_view:search_result,screen_view:venue_detail,0.235766,0.011306
screen_view:home,screen_view:search_main,0.0285258,0.093286
user_engagement,page_view,0.028511,0.09222
view_promotion,view_promotion,0.02466,0.100738
select_promotion,select_promotion,0.027717,0.086685
(start),page_view,0.02057,0.109751
screen_view:venue_detail,(end),0.0476195,0.047028
screen_view:event_apply,select_promotion,0.127341,0.015735
screen_view:venue_review,screen_view:venue_detail,0.268035,0.00729
screen_view:map_main,screen_view:(other_screen),0.203397,0.009606
view_promotion,screen_view:venue_review,0.018405,0.100738
screen_view:venue_detail,screen_view:map_main,0.0393293,0.047028
(start),screen_view:venue_detail,0.015035,0.109751
screen_view:home,screen_view:venue_detail,0.0168138,0.093286
screen_view:search_result,screen_view:search_main,0.12911,0.011306
screen_view:venue_detail,screen_view:home,0.0301719,0.047028
screen_view:venue_detail,screen_view:search_result,0.0298828,0.047028
screen_view:payment_confirm,user_engagement,0.362757,0.003749
screen_view:home,select_promotion,0.0143358,0.093286
user_engagement,select_promotion,0.013469,0.09222
user_engagement,screen_view:(other_screen),0.013371,0.09222
user_engagement,screen_view:venue_detail,0.012191,0.09222
screen_view:event_apply,screen_view:payment_confirm,0.070585,0.015735
first_visit,session_start,0.012369,0.083562
select_promotion,screen_view:event_apply,0.011662,0.086685
sign_up,view_promotion,0.159737,0.006215
user_engagement,screen_view:event_apply,0.010765,0.09222
page_view,screen_view:home,0.064695,0.014715
screen_view:home,screen_view:event_apply,0.0101565,0.093286
apply_event,screen_view:event_detail,0.419028,0.002239
view_promotion,screen_view:payment_confirm,0.008955,0.100738
page_view,view_promotion,0.06069,0.014715
session_start,screen_view:venue_detail,0.00811,0.109565
(other_event),(end),0.240316,0.00364
screen_view:venue_review,(end),0.110697,0.00729
sign_up,screen_view:event_apply,0.125456,0.006215
screen_view:payment_confirm,screen_view:event_apply,0.204353,0.003749
screen_view:event_detail,screen_view:payment_confirm,0.00598613,0.125703
screen_view:map_main,screen_view:home,0.076923,0.009606
screen_view:event_apply,apply_event,0.046672,0.015735
(other_event),screen_view:home,0.19805,0.00364
screen_view:payment_confirm,select_promotion,0.192261,0.003749
apply_event,screen_view:event_apply,0.319838,0.002239
select_promotion,screen_view:payment_confirm,0.00821,0.086685
screen_view:search_main,screen_view:home,0.102296,0.006514
screen_view:search_main,screen_view:search_main,0.101601,0.006514
screen_view:search_result,screen_view:home,0.05814,0.011306
session_start,sign_up,0.005999,0.109565
screen_view:map_main,(end),0.065125,0.009606
screen_view:event_apply,user_engagement,0.038894,0.015735
screen_view:(other_screen),screen_view:map_main,0.0105756,0.057441
screen_view:map_main,screen_view:map_main,0.062765,0.009606
session_start,screen_view:map_main,0.005462,0.109565
page_view,screen_view:event_detail,0.040665,0.014715
(start),(other_event),0.00537,0.109751
screen_view:event_apply,screen_view:event_apply,0.037453,0.015735
screen_view:event_apply,(end),0.037453,0.015735
view_promotion,screen_view:(other_screen),0.005805,0.100738
screen_view:event_detail,apply_event,0.00447174,0.125703
view_promotion,(other_event),0.005355,0.100738
