entity,rank,view_share,cum_share,entities_observed
venue,97,0.002229,0.833296,299
venue,98,0.002229,0.835525,299
venue,99,0.002229,0.837754,299
venue,100,0.002229,0.839982,299
venue,101,0.002229,0.842211,299
venue,102,0.002117,0.844328,299
venue,103,0.002117,0.846445,299
venue,104,0.002117,0.848563,299
venue,105,0.002117,0.85068,299
venue,106,0.002117,0.852797,299
venue,107,0.002117,0.854914,299
venue,108,0.002006,0.85692,299
venue,109,0.002006,0.858926,299
venue,110,0.002006,0.860932,299
venue,111,0.002006,0.862937,299
venue,112,0.002006,0.864943,299
venue,113,0.001894,0.866838,299
venue,114,0.001894,0.868732,299
venue,115,0.001894,0.870626,299
venue,116,0.001894,0.872521,299
venue,117,0.001894,0.874415,299
venue,118,0.001894,0.876309,299
venue,119,0.001894,0.878204,299
venue,120,0.001783,0.879987,299
venue,121,0.001783,0.88177,299
venue,122,0.001783,0.883552,299
venue,123,0.001783,0.885335,299
venue,124,0.001783,0.887118,299
venue,125,0.001783,0.888901,299
venue,126,0.001671,0.890573,299
venue,127,0.001671,0.892244,299
venue,128,0.001671,0.893916,299
venue,129,0.00156,0.895476,299
venue,130,0.00156,0.897036,299
venue,131,0.00156,0.898596,299
venue,132,0.00156,0.900156,299
venue,133,0.00156,0.901716,299
venue,134,0.001449,0.903165,299
venue,135,0.001449,0.904613,299
venue,136,0.001449,0.906062,299
venue,137,0.001449,0.907511,299
venue,138,0.001449,0.908959,299
venue,139,0.001449,0.910408,299
venue,140,0.001449,0.911856,299
venue,141,0.001337,0.913194,299
venue,142,0.001337,0.914531,299
venue,143,0.001337,0.915868,299
venue,144,0.001337,0.917205,299
venue,145,0.001226,0.918431,299
venue,146,0.001226,0.919657,299
venue,147,0.001226,0.920883,299
venue,148,0.001226,0.922108,299
venue,149,0.001226,0.923334,299
venue,150,0.001226,0.92456,299
venue,151,0.001226,0.925786,299
venue,152,0.001226,0.927011,299
venue,153,0.001226,0.928237,299
venue,154,0.001226,0.929463,299
venue,155,0.001114,0.930577,299
venue,156,0.001114,0.931692,299
venue,157,0.001114,0.932806,299
venue,158,0.001114,0.93392,299
venue,159,0.001114,0.935035,299
venue,160,0.001114,0.936149,299
venue,161,0.001114,0.937263,299
venue,162,0.001114,0.938378,299
venue,163,0.001114,0.939492,299
venue,164,0.001114,0.940606,299
venue,165,0.001114,0.941721,299
venue,166,0.001114,0.942835,299
venue,167,0.001003,0.943838,299
venue,168,0.001003,0.944841,299
venue,169,0.001003,0.945844,299
venue,170,0.001003,0.946846,299
venue,171,8.91E-4,0.947738,299
venue,172,8.91E-4,0.948629,299
venue,173,8.91E-4,0.949521,299
venue,174,8.91E-4,0.950412,299
venue,175,8.91E-4,0.951304,299
venue,176,8.91E-4,0.952195,299
venue,177,8.91E-4,0.953087,299
venue,178,8.91E-4,0.953978,299
venue,179,7.8E-4,0.954758,299
venue,180,7.8E-4,0.955538,299
venue,181,7.8E-4,0.956318,299
venue,182,7.8E-4,0.957098,299
venue,183,7.8E-4,0.957878,299
venue,184,7.8E-4,0.958658,299
venue,185,7.8E-4,0.959438,299
venue,186,6.69E-4,0.960107,299
venue,187,6.69E-4,0.960776,299
venue,188,6.69E-4,0.961444,299
venue,189,6.69E-4,0.962113,299
venue,190,6.69E-4,0.962781,299
venue,191,6.69E-4,0.96345,299
venue,192,6.69E-4,0.964119,299
venue,193,6.69E-4,0.964787,299
venue,194,6.69E-4,0.965456,299
venue,195,6.69E-4,0.966124,299
venue,196,6.69E-4,0.966793,299
venue,197,6.69E-4,0.967462,299
venue,198,5.57E-4,0.968019,299
venue,199,5.57E-4,0.968576,299
venue,200,5.57E-4,0.969133,299
venue,201,5.57E-4,0.96969,299
venue,202,5.57E-4,0.970247,299
venue,203,5.57E-4,0.970805,299
venue,204,5.57E-4,0.971362,299
venue,205,5.57E-4,0.971919,299
venue,206,5.57E-4,0.972476,299
venue,207,5.57E-4,0.973033,299
venue,208,5.57E-4,0.97359,299
venue,209,5.57E-4,0.974148,299
venue,210,5.57E-4,0.974705,299
venue,211,5.57E-4,0.975262,299
venue,212,5.57E-4,0.975819,299
venue,213,5.57E-4,0.976376,299
venue,214,5.57E-4,0.976933,299
venue,215,4.46E-4,0.977379,299
venue,216,4.46E-4,0.977825,299
venue,217,4.46E-4,0.978271,299
venue,218,4.46E-4,0.978716,299
venue,219,4.46E-4,0.979162,299
venue,220,4.46E-4,0.979608,299
venue,221,4.46E-4,0.980053,299
venue,222,4.46E-4,0.980499,299
venue,223,4.46E-4,0.980945,299
venue,224,4.46E-4,0.981391,299
venue,225,4.46E-4,0.981836,299
venue,226,4.46E-4,0.982282,299
venue,227,4.46E-4,0.982728,299
venue,228,4.46E-4,0.983174,299
venue,229,4.46E-4,0.983619,299
venue,230,4.46E-4,0.984065,299
venue,231,3.34E-4,0.984399,299
venue,232,3.34E-4,0.984734,299
venue,233,3.34E-4,0.985068,299
venue,234,3.34E-4,0.985402,299
venue,235,3.34E-4,0.985737,299
venue,236,3.34E-4,0.986071,299
venue,237,3.34E-4,0.986405,299
venue,238,3.34E-4,0.986739,299
venue,239,3.34E-4,0.987074,299
venue,240,3.34E-4,0.987408,299
venue,241,3.34E-4,0.987742,299
venue,242,3.34E-4,0.988077,299
venue,243,3.34E-4,0.988411,299
venue,244,3.34E-4,0.988745,299
venue,245,3.34E-4,0.98908,299
venue,246,3.34E-4,0.989414,299
venue,247,3.34E-4,0.989748,299
venue,248,3.34E-4,0.990082,299
venue,249,3.34E-4,0.990417,299
venue,250,3.34E-4,0.990751,299
venue,251,3.34E-4,0.991085,299
venue,252,3.34E-4,0.99142,299
venue,253,3.34E-4,0.991754,299
venue,254,3.34E-4,0.992088,299
venue,255,2.23E-4,0.992311,299
venue,256,2.23E-4,0.992534,299
venue,257,2.23E-4,0.992757,299
venue,258,2.23E-4,0.99298,299
venue,259,2.23E-4,0.993203,299
venue,260,2.23E-4,0.993425,299
venue,261,2.23E-4,0.993648,299
venue,262,2.23E-4,0.993871,299
venue,263,2.23E-4,0.994094,299
venue,264,2.23E-4,0.994317,299
venue,265,2.23E-4,0.99454,299
venue,266,2.23E-4,0.994763,299
venue,267,2.23E-4,0.994986,299
venue,268,2.23E-4,0.995208,299
venue,269,2.23E-4,0.995431,299
venue,270,2.23E-4,0.995654,299
venue,271,2.23E-4,0.995877,299
venue,272,2.23E-4,0.9961,299
venue,273,2.23E-4,0.996323,299
venue,274,2.23E-4,0.996546,299
venue,275,2.23E-4,0.996768,299
venue,276,2.23E-4,0.996991,299
venue,277,2.23E-4,0.997214,299
venue,278,2.23E-4,0.997437,299
venue,279,2.23E-4,0.99766,299
venue,280,2.23E-4,0.997883,299
venue,281,1.11E-4,0.997994,299
venue,282,1.11E-4,0.998106,299
venue,283,1.11E-4,0.998217,299
venue,284,1.11E-4,0.998329,299
venue,285,1.11E-4,0.99844,299
venue,286,1.11E-4,0.998551,299
venue,287,1.11E-4,0.998663,299
venue,288,1.11E-4,0.998774,299
venue,289,1.11E-4,0.998886,299
venue,290,1.11E-4,0.998997,299
venue,291,1.11E-4,0.999109,299
venue,292,1.11E-4,0.99922,299
venue,293,1.11E-4,0.999331,299
venue,294,1.11E-4,0.999443,299
venue,295,1.11E-4,0.999554,299
venue,296,1.11E-4,0.999666,299
venue,297,1.11E-4,0.999777,299
venue,298,1.11E-4,0.999889,299
venue,299,1.11E-4,1.0,299
